final: {0: {0: 38231923, 1: 817300}, 1: {0: 1022789, 1: 2935988}}
final: {0: {0: 37928715, 1: 1120508}, 1: {0: 541973, 1: 3416804}}
final: {0: {0: 38559550, 1: 489673}, 1: {0: 872737, 1: 3086040}}
final: {0: {0: 37517634, 1: 1531589}, 1: {0: 389492, 1: 3569285}}
final: {0: {0: 38478258, 1: 570965}, 1: {0: 705157, 1: 3253620}}
final: {0: {0: 38475048, 1: 574175}, 1: {0: 607967, 1: 3350810}}
final: {0: {0: 38282329, 1: 766894}, 1: {0: 519603, 1: 3439174}}
final: {0: {0: 38552622, 1: 496601}, 1: {0: 611464, 1: 3347313}}
final: {0: {0: 38372411, 1: 676812}, 1: {0: 562952, 1: 3395825}}
final: {0: {0: 38444565, 1: 604658}, 1: {0: 539562, 1: 3419215}}
final: {0: {0: 38545158, 1: 504065}, 1: {0: 601013, 1: 3357764}}
final: {0: {0: 38568113, 1: 481110}, 1: {0: 591905, 1: 3366872}}
final: {0: {0: 38399532, 1: 649691}, 1: {0: 539180, 1: 3419597}}
final: {0: {0: 38548512, 1: 500711}, 1: {0: 572400, 1: 3386377}}
final: {0: {0: 38391192, 1: 658031}, 1: {0: 530708, 1: 3428069}}
final: {0: {0: 38588612, 1: 460611}, 1: {0: 562926, 1: 3395851}}
final: {0: {0: 38281094, 1: 768129}, 1: {0: 382426, 1: 3576351}}
final: {0: {0: 38429429, 1: 619794}, 1: {0: 502834, 1: 3455943}}
final: {0: {0: 38395750, 1: 653473}, 1: {0: 489518, 1: 3469259}}
final: {0: {0: 38408475, 1: 640748}, 1: {0: 390273, 1: 3568504}}
